,Ticker,Indicador,ATUAL,2021,2020,2019,2018,2017,2016,2015,2014,2013,Setor
25,ABEV3,ROA ,"9,14%","9,14%","9,09%","11,58%","11,68%","8,37%","14,96%","13,78%","16,72%","13,83%",Cervejas e Refrigerantes
26,ABEV3,ROIC ,"18,74%","18,74%","17,72%","23,31%","25,64%","22,76%","32,25%","28,09%","29,91%","27,50%",Cervejas e Refrigerantes
27,ABEV3,Giro ativos ,"0,53","0,53","0,47","0,52","0,53","0,55","0,54","0,52","0,53","0,51",Cervejas e Refrigerantes
28,ABEV3,CAGR Receitas 5 anos ,"9,82%","9,82%","4,56%","6,67%","7,44%","8,25%",-%,-%,-%,-%,Cervejas e Refrigerantes
29,ABEV3,CAGR Lucros 5 anos ,"0,20%","0,20%","-1,74%","-0,48%","2,84%","2,81%","217,86%","249,09%",-%,-%,Cervejas e Refrigerantes
0,AERI3,D.Y ,"0,40%",-%,-%,-%,-%,,,,,,Máq. e Equip. Industriais
1,AERI3,P/L ,"57,25","72,53","67,69",-,-,,,,,,Máq. e Equip. Industriais
2,AERI3,PEG Ratio ,"-1,47","-1,87",-,-,-,,,,,,Máq. e Equip. Industriais
3,AERI3,P/VP ,"3,96","5,02","7,93",-,-,,,,,,Máq. e Equip. Industriais
4,AERI3,EV/EBITDA ,"18,76","23,18","35,45",-,-,,,,,,Máq. e Equip. Industriais
5,AERI3,EV/EBIT ,"21,74","26,86","39,52",-,-,,,,,,Máq. e Equip. Industriais
6,AERI3,P/EBITDA ,"16,44","20,83","33,45",-,-,,,,,,Máq. e Equip. Industriais
7,AERI3,P/EBIT ,"19,05","24,14","37,29",-,-,,,,,,Máq. e Equip. Industriais
8,AERI3,VPA ,"1,30","1,30","1,26",-,-,,,,,,Máq. e Equip. Industriais
9,AERI3,P/Ativo ,"1,28","1,63","3,23",-,-,,,,,,Máq. e Equip. Industriais
10,AERI3,LPA ,"0,09","0,09","0,15",-,-,,,,,,Máq. e Equip. Industriais
11,AERI3,P/SR ,"1,59","2,02","3,47",-,-,,,,,,Máq. e Equip. Industriais
12,AERI3,P/Cap. Giro ,"3,10","3,93","10,56",-,-,,,,,,Máq. e Equip. Industriais
13,AERI3,P/Ativo Circ. Liq. ,"-3,59","-4,55","-10,90",-,-,,,,,,Máq. e Equip. Industriais
14,AERI3,Dív. líquida/PL ,"0,57","0,57","0,47","1,78","1,83",,,,,,Máq. e Equip. Industriais
15,AERI3,Dív. líquida/EBITDA ,"2,35","2,35","2,00","2,10","1,37",,,,,,Máq. e Equip. Industriais
16,AERI3,Dív. líquida/EBIT ,"2,72","2,72","2,23","2,30","1,48",,,,,,Máq. e Equip. Industriais
17,AERI3,PL/Ativos ,"0,32","0,32","0,41","0,22","0,25",,,,,,Máq. e Equip. Industriais
18,AERI3,Passivos/Ativos ,"0,68","0,68","0,59","0,78","0,75",,,,,,Máq. e Equip. Industriais
19,AERI3,Liq. corrente ,"2,80","2,80","1,77","1,19","2,21",,,,,,Máq. e Equip. Industriais
20,AERI3,M. Bruta ,"11,54%","11,54%","11,13%","17,76%","25,02%",,,,,,Máq. e Equip. Industriais
21,AERI3,M. EBITDA ,"9,69%","9,69%","10,37%","17,77%","26,79%",,,,,,Máq. e Equip. Industriais
22,AERI3,M. EBIT ,"8,36%","8,36%","9,30%","16,23%","24,90%",,,,,,Máq. e Equip. Industriais
23,AERI3,M. Líquida ,"2,78%","2,78%","5,13%","10,64%","18,02%",,,,,,Máq. e Equip. Industriais
24,AERI3,ROE ,"6,92%","6,92%","11,72%","50,94%","89,84%",,,,,,Máq. e Equip. Industriais
25,AERI3,ROA ,"2,24%","2,24%","4,78%","11,06%","22,12%",,,,,,Máq. e Equip. Industriais
26,AERI3,ROIC ,"8,06%","8,06%","9,41%","21,87%","33,19%",,,,,,Máq. e Equip. Industriais
27,AERI3,Giro ativos ,"0,81","0,81","0,93","1,04","1,23",,,,,,Máq. e Equip. Industriais
28,AERI3,CAGR Receitas 5 anos ,-%,-%,-%,-%,-%,,,,,,Máq. e Equip. Industriais
29,AERI3,CAGR Lucros 5 anos ,-%,-%,-%,-%,-%,,,,,,Máq. e Equip. Industriais
0,AESB3,D.Y ,"2,04%","2,09%",,,,,,,,,Energia Elétrica
1,AESB3,P/L ,"12,48","14,55",,,,,,,,,Energia Elétrica
2,AESB3,PEG Ratio ,-,-,,,,,,,,,Energia Elétrica
3,AESB3,P/VP ,"1,38","1,35",,,,,,,,,Energia Elétrica
4,AESB3,EV/EBITDA ,-,-,,,,,,,,,Energia Elétrica
5,AESB3,EV/EBIT ,"97,79","24.348,09",,,,,,,,,Energia Elétrica
6,AESB3,P/EBITDA ,-,-,,,,,,,,,Energia Elétrica
7,AESB3,P/EBIT ,"54,08","29,41",,,,,,,,,Energia Elétrica
8,AESB3,VPA ,"8,20","8,20",,,,,,,,,Energia Elétrica
9,AESB3,P/Ativo ,"0,47","0,46",,,,,,,,,Energia Elétrica
10,AESB3,LPA ,"0,91","0,76",,,,,,,,,Energia Elétrica
11,AESB3,P/SR ,"4,55","2,79",,,,,,,,,Energia Elétrica
12,AESB3,P/Cap. Giro ,"10,57","10,35",,,,,,,,,Energia Elétrica
13,AESB3,P/Ativo Circ. Liq. ,"-0,59","-0,57",,,,,,,,,Energia Elétrica
14,AESB3,Dív. líquida/PL ,"1,12","1,40",,,,,,,,,Energia Elétrica
15,AESB3,Dív. líquida/EBITDA ,-,-,,,,,,,,,Energia Elétrica
16,AESB3,Dív. líquida/EBIT ,"43,81","24.318,68",,,,,,,,,Energia Elétrica
17,AESB3,PL/Ativos ,"0,34","272,08",,,,,,,,,Energia Elétrica
18,AESB3,Passivos/Ativos ,"0,66","659,44",,,,,,,,,Energia Elétrica
19,AESB3,Liq. corrente ,"1,29","1,29",,,,,,,,,Energia Elétrica
20,AESB3,M. Bruta ,"16,81%","14,74%",,,,,,,,,Energia Elétrica
21,AESB3,M. EBITDA ,-%,-%,,,,,,,,,Energia Elétrica
22,AESB3,M. EBIT ,"8,41%","9,47%",,,,,,,,,Energia Elétrica
23,AESB3,M. Líquida ,"36,44%","19,14%",,,,,,,,,Energia Elétrica
24,AESB3,ROE ,"11,05%","0,01%",,,,,,,,,Energia Elétrica
25,AESB3,ROA ,"3,76%","3,16%",,,,,,,,,Energia Elétrica
26,AESB3,ROIC ,"-4,65%","0,00%",,,,,,,,,Energia Elétrica
27,AESB3,Giro ativos ,"0,10","0,17",,,,,,,,,Energia Elétrica
28,AESB3,CAGR Receitas 5 anos ,-%,-%,,,,,,,,,Energia Elétrica
29,AESB3,CAGR Lucros 5 anos ,-%,-%,,,,,,,,,Energia Elétrica
0,AFLT3,D.Y ,"2,06%","7,10%","7,33%","0,95%","3,25%","13,97%","14,17%",-%,"7,77%","4,08%",Energia Elétrica
1,AFLT3,P/L ,"5,85","5,61","33,25","27,67","15,48","25,05","13,33",-,"13,60","11,36",Energia Elétrica
2,AFLT3,PEG Ratio ,"0,01","0,01",-,-,"0,19","-2,02","1,02",-,"-0,59","1,15",Energia Elétrica
3,AFLT3,P/VP ,"2,36","2,26","3,32","3,26","1,79","6,98","2,50",-,"2,66","2,85",Energia Elétrica
4,AFLT3,EV/EBITDA ,-,"5,25","30,65",-,-,-,-,-,-,-,Energia Elétrica
5,AFLT3,EV/EBIT ,"5,49","5,26","30,86","25,98","14,01","23,47","7,50",-,"12,46","10,20",Energia Elétrica
6,AFLT3,P/EBITDA ,-,"5,42","32,23",-,-,-,-,-,-,-,Energia Elétrica
7,AFLT3,P/EBIT ,"5,65","5,42","32,45","28,00","15,29","24,75","11,62",-,"14,18","11,53",Energia Elétrica
8,AFLT3,VPA ,"3,92","3,92","2,97","3,40","3,10","0,71","1,21","1,24","1,22","1,23",Energia Elétrica
9,AFLT3,P/Ativo ,"2,11","2,03","2,99","3,10","1,70","5,72","2,17",-,"2,43","2,65",Energia Elétrica
10,AFLT3,LPA ,"1,58","1,58","0,30","0,40","0,36","0,20","0,23","0,20","0,24","0,31",Energia Elétrica
11,AFLT3,P/SR ,"4,85","4,65","17,31","18,10","10,39","13,26","6,08",-,"5,88","6,29",Energia Elétrica
12,AFLT3,P/Cap. Giro ,"11,57","11,09","12,92","9,82","7,05","6,19","2,93",-,"3,49","3,89",Energia Elétrica
13,AFLT3,P/Ativo Circ. Liq. ,"-2,71","-2,60","-4,07","-4,65","-2,28","-183,89","-10,17",-,"-9,10","-9,29",Energia Elétrica
14,AFLT3,Dív. líquida/PL ,"-0,07","-0,07","-0,16","-0,24","-0,15","-0,36","-0,89","-1,03","-0,32","-0,33",Energia Elétrica
15,AFLT3,Dív. líquida/EBITDA ,-,"-0,17","-1,58",-,-,-,-,-,-,-,Energia Elétrica
16,AFLT3,Dív. líquida/EBIT ,"-0,17","-0,17","-1,59","-2,02","-1,28","-1,28","-4,12","-7,17","-1,72","-1,34",Energia Elétrica
17,AFLT3,PL/Ativos ,"0,90","0,90","0,90","0,95","0,95","0,82","0,87","0,88","0,91","0,93",Energia Elétrica
18,AFLT3,Passivos/Ativos ,"0,10","0,10","0,10","0,05","0,05","0,18","0,13","0,12","0,09","0,07",Energia Elétrica
19,AFLT3,Liq. corrente ,"5,86","5,86","7,91","18,09","19,71","21,59",-,"10,47","20,07","21,18",Energia Elétrica
20,AFLT3,M. Bruta ,"88,64%","88,64%","64,85%","66,32%","70,23%","55,91%","54,79%","43,80%","49,18%","58,60%",Energia Elétrica
21,AFLT3,M. EBITDA ,-%,"85,86%","53,72%",-%,-%,-%,-%,-%,-%,-%,Energia Elétrica
22,AFLT3,M. EBIT ,"85,80%","85,80%","53,36%","64,63%","67,99%","53,57%","52,30%","40,92%","41,49%","54,51%",Energia Elétrica
23,AFLT3,M. Líquida ,"82,95%","82,95%","52,07%","65,40%","67,14%","52,93%","45,57%","46,08%","43,25%","55,34%",Energia Elétrica
24,AFLT3,ROE ,"40,32%","40,32%","9,98%","11,78%","11,55%","27,86%","18,75%","16,11%","19,55%","25,08%",Energia Elétrica
25,AFLT3,ROA ,"36,17%","36,17%","9,00%","11,19%","10,97%","22,84%","16,31%","14,13%","17,85%","23,31%",Energia Elétrica
26,AFLT3,ROIC ,"39,86%","39,86%","9,27%","10,61%","10,73%","21,49%","11,87%","10,25%","14,80%","21,27%",Energia Elétrica
27,AFLT3,Giro ativos ,"0,44","0,44","0,17","0,17","0,16","0,43","0,36","0,31","0,41","0,42",Energia Elétrica
28,AFLT3,CAGR Receitas 5 anos ,"30,86%","30,86%","5,56%","2,20%","-0,84%","-3,49%","-0,41%","-2,91%",-%,-%,Energia Elétrica
29,AFLT3,CAGR Lucros 5 anos ,"47,52%","47,52%","8,17%","11,01%","3,07%","-6,69%","-7,56%","-7,86%",-%,-%,Energia Elétrica
0,AGRO3,D.Y ,"14,78%","9,10%","2,84%","4,89%","4,88%","1,93%","5,29%","12,67%",-%,"1,07%",Agricultura
1,AGRO3,P/L ,"7,55","6,65","4,89","9,05","5,01","5,77","23,02",-,-,-,Agricultura
2,AGRO3,PEG Ratio ,"0,03","0,02",-,-,"0,12","0,02","0,10",-,-,-,Agricultura
3,AGRO3,P/VP ,"1,31","1,35","1,38","1,15","1,01","1,05","0,96",-,-,-,Agricultura
4,AGRO3,EV/EBITDA ,-,-,"4,06","5,69","4,99",-,"37,78",-,-,-,Agricultura
5,AGRO3,EV/EBIT ,"15,45","12,67","5,20","7,78","5,61","4,92","-3.030,84",-,-,-,Agricultura
6,AGRO3,P/EBITDA ,-,-,"3,08","4,82","4,23",-,"42,35",-,-,-,Agricultura
7,AGRO3,P/EBIT ,"16,09","13,57","3,94","6,59","4,75","4,53","-3.397,96",-,-,-,Agricultura
8,AGRO3,VPA ,"23,95","21,32","18,06","16,58","15,52","11,92","11,54",-,-,-,Agricultura
9,AGRO3,P/Ativo ,"0,89","0,86","0,76","0,71","0,69","0,79","0,77",-,-,-,Agricultura
10,AGRO3,LPA ,"4,16","4,33","5,11","2,10","3,11","2,17","0,48",-,-,-,Agricultura
11,AGRO3,P/SR ,"3,47","3,13","1,27","1,53","1,60","1,90","3,41",-,-,-,Agricultura
12,AGRO3,P/Cap. Giro ,"2,69","2,68","6,41","4,31","4,09","11,34","4,82",-,-,-,Agricultura
13,AGRO3,P/Ativo Circ. Liq. ,"-1,74","-1,77","-1,11","-1,04","-1,00","-1,03","-1,11",-,-,-,Agricultura
14,AGRO3,Dív. líquida/PL ,"-0,05","-0,09","0,44","0,22","0,21","0,09","-0,10","-0,32","0,02","0,03",Agricultura
15,AGRO3,Dív. líquida/EBITDA ,-,-,"0,98","0,87","0,76",-,"-4,58","34,23","0,07","-2,85",Agricultura
16,AGRO3,Dív. líquida/EBIT ,"-0,56","-0,91","1,26","1,20","0,86","0,38","367,12","8,25","0,08","-0,62",Agricultura
17,AGRO3,PL/Ativos ,"0,68","0,64","0,55","0,65","0,64","0,76","0,80","0,74","0,70","0,76",Agricultura
18,AGRO3,Passivos/Ativos ,"0,32","0,36","0,45","0,35","0,36","0,24","0,20","0,26","0,30","0,24",Agricultura
19,AGRO3,Liq. corrente ,"3,04","2,66","1,61","1,95","1,83","1,09","2,36","2,26","1,33","2,37",Agricultura
20,AGRO3,M. Bruta ,"27,33%","28,68%","40,27%","31,39%","42,53%","40,55%","25,99%","0,33%","54,48%","8,98%",Agricultura
21,AGRO3,M. EBITDA ,-%,-%,"41,30%","31,86%","37,80%",-%,"8,06%","-5,16%","48,10%","-3,90%",Agricultura
22,AGRO3,M. EBIT ,"21,57%","23,03%","32,29%","23,30%","33,65%","41,87%","-0,10%","-21,41%","42,16%","-17,98%",Agricultura
23,AGRO3,M. Líquida ,"45,98%","46,98%","26,02%","16,95%","31,88%","32,90%","14,82%","5,91%","48,27%","-8,78%",Agricultura
24,AGRO3,ROE ,"17,36%","20,30%","28,32%","13,58%","23,43%","18,93%","3,97%","1,06%","30,97%","-2,28%",Agricultura
25,AGRO3,ROA ,"11,72%","12,92%","15,54%","8,81%","15,01%","14,30%","3,19%","0,78%","21,83%","-1,73%",Agricultura
26,AGRO3,ROIC ,"5,41%","6,33%","20,95%","12,66%","15,91%","17,30%","-0,78%","-3,52%","21,05%","-6,23%",Agricultura
27,AGRO3,Giro ativos ,"0,26","0,28","0,60","0,52","0,47","0,43","0,22","0,13","0,45","0,20",Agricultura
28,AGRO3,CAGR Receitas 5 anos ,"55,29%","55,29%","55,29%","13,49%","29,55%","9,46%","3,37%","5,93%","108,05%",-%,Agricultura
29,AGRO3,CAGR Lucros 5 anos ,"121,45%","123,25%","108,88%","-7,94%",-%,"34,48%",-%,"-11,53%",-%,-%,Agricultura
0,AGXY3,D.Y ,-%,-%,-%,,,,,,,,Agricultura
1,AGXY3,P/L ,"2.631,63","15,40",-,,,,,,,,Agricultura
2,AGXY3,PEG Ratio ,-,-,-,,,,,,,,Agricultura
3,AGXY3,P/VP ,"1,19","1,24",-,,,,,,,,Agricultura
4,AGXY3,EV/EBITDA ,-,"5,93",-,,,,,,,,Agricultura
5,AGXY3,EV/EBIT ,"-30,49","7,56",-,,,,,,,,Agricultura
6,AGXY3,P/EBITDA ,-,"4,40",-,,,,,,,,Agricultura
7,AGXY3,P/EBIT ,"-22,39","5,61",-,,,,,,,,Agricultura
8,AGXY3,VPA ,"8,63","8,63",-,,,,,,,,Agricultura
9,AGXY3,P/Ativo ,"0,26","0,27",-,,,,,,,,Agricultura
10,AGXY3,LPA ,"0,00","0,69",-,,,,,,,,Agricultura
11,AGXY3,P/SR ,"0,45","0,28",-,,,,,,,,Agricultura
12,AGXY3,P/Cap. Giro ,"3,22","3,35",-,,,,,,,,Agricultura
13,AGXY3,P/Ativo Circ. Liq. ,"-1,28","-1,33",-,,,,,,,,Agricultura
14,AGXY3,Dív. líquida/PL ,"0,43","0,43","0,51",,,,,,,,Agricultura
15,AGXY3,Dív. líquida/EBITDA ,-,"1,53","3,97",,,,,,,,Agricultura
16,AGXY3,Dív. líquida/EBIT ,"-8,10","1,95","5,34",,,,,,,,Agricultura
17,AGXY3,PL/Ativos ,"0,22","0,22","0,24",,,,,,,,Agricultura
18,AGXY3,Passivos/Ativos ,"0,78","0,78","0,76",,,,,,,,Agricultura
19,AGXY3,Liq. corrente ,"1,11","1,11","1,03",,,,,,,,Agricultura
20,AGXY3,M. Bruta ,"6,94%","13,71%","12,48%",,,,,,,,Agricultura
21,AGXY3,M. EBITDA ,-%,"6,29%","4,91%",,,,,,,,Agricultura
22,AGXY3,M. EBIT ,"-2,02%","4,94%","3,65%",,,,,,,,Agricultura
23,AGXY3,M. Líquida ,"0,02%","1,80%","3,10%",,,,,,,,Agricultura
24,AGXY3,ROE ,"0,05%","8,11%","8,02%",,,,,,,,Agricultura
25,AGXY3,ROA ,"0,01%","1,75%","1,91%",,,,,,,,Agricultura
26,AGXY3,ROIC ,"-3,43%","10,66%","0,65%",,,,,,,,Agricultura
27,AGXY3,Giro ativos ,"0,57","0,97","0,62",,,,,,,,Agricultura
28,AGXY3,CAGR Receitas 5 anos ,-%,-%,-%,,,,,,,,Agricultura
29,AGXY3,CAGR Lucros 5 anos ,-%,-%,-%,,,,,,,,Agricultura
0,AHEB3,D.Y ,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,Produção de Eventos e Shows
1,AHEB3,P/L ,"-3,15","-3,15","-8,15","-1,92","-7,06",-,-,-,-,-,Produção de Eventos e Shows
2,AHEB3,PEG Ratio ,"-0,01","-0,01",-,-,"-0,04",-,-,-,-,-,Produção de Eventos e Shows
3,AHEB3,P/VP ,"-3,32","-3,32","53,98","3,00","9,70",-,-,-,-,-,Produção de Eventos e Shows
4,AHEB3,EV/EBITDA ,"-6,06",-,"-25,30",-,-,-,-,-,-,-,Produção de Eventos e Shows
5,AHEB3,EV/EBIT ,"-4,99",-,"-11,88",-,-,-,-,-,-,-,Produção de Eventos e Shows
6,AHEB3,P/EBITDA ,"-6,61","-6,61","-34,34","-2,87","-8,63",-,-,-,-,-,Produção de Eventos e Shows
7,AHEB3,P/EBIT ,"-5,45","-5,45","-16,13","-2,04","-7,41",-,-,-,-,-,Produção de Eventos e Shows
8,AHEB3,VPA ,"-8,28","-8,28","0,42","11,61","7,73","16,91","10,43","22,43","19,34","18,21",Produção de Eventos e Shows
9,AHEB3,P/Ativo ,"0,75","0,75","0,64","0,31","1,52",-,-,-,-,-,Produção de Eventos e Shows
10,AHEB3,LPA ,"-8,73","-8,73","-2,80","-18,16","-10,63","-4,07","-13,21","-2,66","1,12","0,09",Produção de Eventos e Shows
11,AHEB3,P/SR ,"1,35","1,35","0,91","0,71","4,97",-,-,-,-,-,Produção de Eventos e Shows
12,AHEB3,P/Cap. Giro ,"-53,36","-53,36","-6,09","-4,68","-37,88",-,-,-,-,-,Produção de Eventos e Shows
13,AHEB3,P/Ativo Circ. Liq. ,"-1,08","-1,08","-0,88","-0,37","-1,67",-,-,-,-,-,Produção de Eventos e Shows
14,AHEB3,Dív. líquida/PL ,-,-,"-14,09","-1,00","-0,36","-0,38","-0,26","-0,27","-0,43","-0,60",Produção de Eventos e Shows
